City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,13.18,69,100,2.12,AU,1690427982
1,lompoc,34.6391,-120.4579,20.08,87,100,5.36,US,1690427813
2,saint-joseph,-21.3667,55.6167,18.21,81,79,4.21,RE,1690427983
3,san antonio de pale,-1.4014,5.6325,22.84,90,100,5.08,GQ,1690427983
4,waitangi,-43.9535,-176.5597,8.23,90,88,0.45,NZ,1690427984
5,hithadhoo,-0.6,73.0833,28.31,78,37,7.18,MV,1690427984
6,longyearbyen,78.2186,15.6401,10.91,71,40,2.06,SJ,1690427984
7,sandnessjoen,66.0217,12.6316,14.12,94,75,3.09,NO,1690427985
8,stanley,54.868,-1.6985,13.49,92,75,1.03,GB,1690427985
9,yemva,62.59,50.8594,17.02,66,100,2.94,RU,1690427989
10,nuestra senora del rosario de caa cati,-27.7507,-57.6207,11.83,85,66,2.81,AR,1690427990
11,port elizabeth,-33.918,25.5701,14.16,82,0,6.69,ZA,1690427990
12,edinburgh of the seven seas,-37.0676,-12.3116,10.64,53,67,10.16,SH,1690427991
13,forster,-32.1667,152.5167,18.54,65,0,2.86,AU,1690427711
14,alice springs,-23.7,133.8833,23.75,46,75,7.2,AU,1690427991
15,mugia,43.1041,-9.2179,18.84,80,97,2.28,ES,1690427992
16,djambala,-2.5447,14.7533,20.79,74,50,1.83,CG,1690427992
17,dragor,55.5946,12.6664,15.01,84,100,3.09,DK,1690427992
18,tibigan,9.9518,123.9622,32.0,67,99,5.94,PH,1690427993
19,tigwav,18.4314,-72.8669,27.83,79,100,3.61,HT,1690427993
20,st. paul,44.9444,-93.0933,28.76,79,0,0.0,US,1690427798
21,sur,22.5667,59.5289,28.36,73,81,4.86,OM,1690427993
22,guerrero negro,27.9769,-114.0611,21.17,80,2,5.41,MX,1690427994
23,bethel,41.3712,-73.414,24.72,79,0,4.12,US,1690427994
24,itoman,26.1247,127.6694,29.21,84,75,7.72,JP,1690427820
25,ushuaia,-54.8,-68.3,0.81,60,75,2.06,AR,1690427995
26,bredasdorp,-34.5322,20.0403,8.71,91,0,2.02,ZA,1690427825
27,hadibu,12.65,54.0333,25.1,79,70,11.69,YE,1690427744
28,adamstown,-25.066,-130.1015,19.72,61,32,6.03,PN,1690427995
29,fale old settlement,-9.3852,-171.2468,28.52,73,39,7.63,TK,1690427996
30,dabou,5.3256,-4.3769,23.55,95,71,2.61,CI,1690427996
31,hawaiian paradise park,19.5933,-154.9731,27.73,92,40,4.12,US,1690427996
32,ribeira grande,38.5167,-28.7,22.65,96,51,3.13,PT,1690427997
33,yanbu,24.0891,38.0637,31.02,89,0,3.09,SA,1690427997
34,torghay,49.6339,63.4981,23.92,56,1,2.54,KZ,1690427998
35,thompson,55.7435,-97.8558,13.09,88,100,1.54,CA,1690427998
36,cholpon-ata,42.6494,77.0823,24.03,55,91,0.62,KG,1690427998
37,ardakan,32.31,54.0175,31.51,12,28,3.57,IR,1690427999
38,essaouira,31.5125,-9.77,20.72,87,0,4.12,MA,1690427999
39,papatowai,-46.5619,169.4708,6.44,79,100,9.66,NZ,1690427999
40,vilyuchinsk,52.9306,158.4028,23.15,81,98,3.29,RU,1690428000
41,maksatikha,57.797,35.8825,12.94,97,20,2.18,RU,1690428000
42,bedesa,8.9,40.7833,15.32,88,50,1.34,ET,1690427767
43,anadyr,64.75,177.4833,12.78,82,75,5.0,RU,1690427742
44,wailua homesteads,22.0669,-159.378,28.44,78,40,7.2,US,1690428001
45,hermanus,-34.4187,19.2345,11.72,84,0,3.02,ZA,1690428002
46,carnarvon,-24.8667,113.6333,17.8,51,20,7.94,AU,1690428002
47,yellowknife,62.456,-114.3525,23.29,35,20,5.66,CA,1690428005
48,yuzhno-kurilsk,44.0306,145.8556,22.2,77,100,1.94,RU,1690428005
49,lihue,21.9789,-159.3672,28.77,71,40,7.2,US,1690428006
50,ambon,-3.6954,128.1814,27.71,75,40,1.54,ID,1690428006
51,albany,42.6001,-73.9662,24.23,82,100,2.15,US,1690428006
52,hue,16.4667,107.6,35.06,52,20,3.09,VN,1690428007
53,port mathurin,-19.6833,63.4167,23.71,78,38,7.78,MU,1690428007
54,tekkali,18.6167,84.2333,27.72,87,84,4.05,IN,1690427967
55,leninskoye,41.7589,69.3864,34.61,17,0,1.67,KZ,1690428008
56,muravlenko,63.7898,74.523,21.53,63,52,4.35,RU,1690428009
57,talara,-4.5772,-81.2719,21.41,86,6,6.32,PE,1690428009
58,port-aux-francais,-49.35,70.2167,4.52,75,93,15.59,TF,1690428010
59,qaqortoq,60.7167,-46.0333,6.98,81,92,2.8,GL,1690428010
60,robit,12.0167,39.6333,21.86,58,100,2.39,ET,1690427964
61,yakymivka,46.6897,35.1536,22.82,80,0,5.92,UA,1690428010
62,grytviken,-54.2811,-36.5092,0.81,99,100,5.24,GS,1690427911
63,phan rang-thap cham,11.5667,108.9833,32.0,59,100,5.0,VN,1690427896
64,kone,-21.0595,164.8658,24.27,41,0,4.44,NC,1690428011
65,galliano,29.4422,-90.2992,27.78,69,1,2.8,US,1690428011
66,buka,40.8108,69.1986,34.13,13,3,5.03,UZ,1690428011
67,saint-philippe,-21.3585,55.7679,18.77,82,59,5.04,RE,1690428012
68,margaret river,-33.95,115.0667,14.07,63,98,6.1,AU,1690427736
69,liwale,-9.7667,37.9333,15.59,73,38,2.23,TZ,1690428013
70,aykhal,66.0,111.5,16.57,58,100,2.94,RU,1690428013
71,griffith,41.5284,-87.4237,28.96,84,100,1.54,US,1690427875
72,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,64,40,6.0,RU,1690428014
73,klyuchi,52.2667,79.1667,21.93,43,100,1.68,RU,1690428015
74,la passe,45.5549,-0.8967,19.43,94,18,2.98,FR,1690428015
75,aasiaat,68.7098,-52.8699,2.17,96,31,2.81,GL,1690428016
76,grand falls-windsor,48.9332,-55.6649,16.74,95,22,2.74,CA,1690428016
77,west island,-12.1568,96.8225,24.99,78,40,10.29,CC,1690428016
78,korla,41.7597,86.1469,34.16,19,0,0.77,CN,1690428018
79,ust-nera,64.5667,143.2,14.99,54,96,3.4,RU,1690428019
80,macouria,4.9167,-52.3667,24.97,94,78,0.0,GF,1690428019
81,hell-ville,-13.4,48.2667,23.19,71,1,3.0,MG,1690427857
82,nuuk,64.1835,-51.7216,7.34,87,100,6.71,GL,1690428020
83,puerto natales,-51.7236,-72.4875,-1.66,92,100,0.94,CL,1690427780
84,utrik,11.2278,169.8474,27.95,80,100,7.86,MH,1690428020
85,namtsy,62.7161,129.6658,23.84,37,77,2.92,RU,1690428020
86,festus,38.2206,-90.396,31.32,32,0,5.92,US,1690428021
87,vila velha,-20.3297,-40.2925,21.08,89,0,1.03,BR,1690427807
88,tannum sands,-23.9504,151.3693,23.94,41,75,8.23,AU,1690428023
89,yeraliyev,43.2,51.65,25.31,55,0,2.67,KZ,1690428024
90,crane,31.3974,-102.3501,30.98,30,37,5.83,US,1690428024
91,namibe,-15.1961,12.1522,15.16,91,68,3.46,AO,1690428025
92,portland,45.5234,-122.6762,26.08,43,75,4.63,US,1690427947
93,chatham,51.3789,0.5279,17.01,77,100,1.79,GB,1690428026
94,arkalyk,50.2486,66.9114,20.39,65,52,4.09,KZ,1690428026
95,xiaoweizhai,26.1903,107.5125,28.28,75,69,1.45,CN,1690428026
96,filingue,14.3521,3.3168,32.02,50,82,7.24,NE,1690428027
97,new norfolk,-42.7826,147.0587,13.84,51,100,1.91,AU,1690428027
98,east london,-33.0153,27.9116,17.64,70,98,3.79,ZA,1690427781
99,mount gambier,-37.8333,140.7667,15.76,55,30,5.39,AU,1690427740
100,mindelo,16.8901,-24.9804,25.75,78,75,8.75,CV,1690428028
101,alesund,62.4723,6.1549,16.06,97,100,3.6,NO,1690428028
102,san rafael del yuma,18.4299,-68.6739,24.76,81,100,2.25,DO,1690428028
103,naze,28.3667,129.4833,26.51,83,100,6.46,JP,1690427761
104,maine soroa,13.2114,12.0241,29.52,46,99,4.28,NE,1690428029
105,anzio,41.4853,12.6179,22.7,61,2,2.26,IT,1690428029
106,rio grande,-32.035,-52.0986,11.64,88,1,6.14,BR,1690428030
107,broome,42.2506,-75.833,25.25,74,40,4.12,US,1690428030
108,nikolayevsk-on-amure,53.1406,140.73,27.34,47,99,3.59,RU,1690428031
109,tateyama,34.9833,139.8667,28.23,76,29,4.49,JP,1690427830
110,tazovsky,67.4667,78.7,19.04,71,10,0.71,RU,1690428031
111,cabo san lucas,22.8909,-109.9124,31.45,77,20,5.14,MX,1690428032
112,padang,-0.9492,100.3543,30.03,65,91,1.08,ID,1690427902
113,whitehorse,60.7161,-135.0538,19.06,71,75,3.09,CA,1690428032
114,dolisie,-4.1997,12.6739,19.06,92,21,1.17,CG,1690427831
115,siaya,0.0612,34.2882,17.61,77,59,2.03,KE,1690428033
116,strezhevoy,60.7333,77.5889,18.56,79,69,2.66,RU,1690428033
117,afaahiti,-17.75,-149.2833,23.93,83,61,2.53,PF,1690428034
118,tangalle,6.024,80.7911,28.04,73,100,4.79,LK,1690428034
119,praia da vitoria,38.7333,-27.0667,22.64,88,20,3.01,PT,1690428034
120,dame-marie,18.5667,-74.4167,27.34,80,100,2.68,HT,1690428035
121,alvorada,-12.48,-49.1247,23.72,34,18,1.57,BR,1690428035
122,talnakh,69.4865,88.3972,26.23,48,65,2.7,RU,1690428036
123,inverness,57.4791,-4.224,11.95,97,20,1.03,GB,1690428036
124,labytnangi,66.6572,66.4183,17.24,88,99,4.59,RU,1690428036
125,zarghun shahr,32.8473,68.4457,23.02,51,10,0.56,AF,1690428040
126,aileu,-8.7281,125.5664,24.72,47,4,1.4,TL,1690428041
127,invercargill,-46.4,168.35,7.38,75,100,6.95,NZ,1690428041
128,gamawa,12.1343,10.5396,27.37,53,95,4.13,NG,1690428041
129,tura,25.5198,90.2201,25.46,94,99,2.66,IN,1690427980
130,pozzallo,36.7305,14.8499,22.36,56,0,4.04,IT,1690428042
131,sainte-marie,-20.8968,55.5496,19.09,89,41,2.57,RE,1690427891
132,avarua,-21.2078,-159.775,21.03,88,75,3.09,CK,1690428043
133,tiksi,71.6872,128.8694,7.7,72,37,3.0,RU,1690428043
134,bilibino,68.0546,166.4372,11.35,69,100,1.61,RU,1690428043
135,gussago,45.5836,10.1572,18.62,81,20,2.57,IT,1690428044
136,ilulissat,69.2167,-51.1,8.01,71,0,1.54,GL,1690428044
137,ta`u,-14.2336,-169.5144,25.66,73,91,5.3,AS,1690428044
138,port saint john's,-31.6229,29.5448,18.71,67,60,5.2,ZA,1690428045
139,sernur,56.9333,49.1536,18.7,89,59,5.18,RU,1690428045
140,jamestown,42.097,-79.2353,22.77,97,100,4.12,US,1690427818
141,kisangani,0.5167,25.2,21.55,96,57,0.68,CD,1690427964
142,pangobilian,8.8011,117.8594,29.75,69,86,7.0,PH,1690428046
143,iskateley,67.6803,53.1512,18.94,63,87,1.24,RU,1690428046
144,nyachera,-0.9,30.4167,16.17,53,86,0.65,UG,1690428046
145,springs,-26.25,28.4,9.81,89,0,3.2,ZA,1690428047
146,leirvik,59.7798,5.5005,15.9,90,59,1.12,NO,1690428048
147,chernyshevskiy,63.0128,112.4714,21.98,47,62,4.41,RU,1690428048
148,djibo,14.1022,-1.6306,31.53,48,100,4.59,BF,1690428048
149,souillac,-20.5167,57.5167,19.21,94,40,2.57,MU,1690428049
150,kodiak,57.79,-152.4072,13.73,82,75,4.63,US,1690428049
151,colonia menno,-22.3667,-59.8167,17.49,82,98,3.36,PY,1690428049
152,puerto ayora,-0.7393,-90.3518,24.75,92,78,1.79,EC,1690428050
153,vanino,49.0869,140.2543,22.9,73,45,2.22,RU,1690428050
154,georgetown,5.4112,100.3354,30.96,83,20,1.54,MY,1690427783
155,ploneour-lanvern,47.9,-4.2833,17.16,94,100,4.12,FR,1690428051
156,banikoara,11.2985,2.4386,23.87,91,100,1.9,BJ,1690427897
157,balabac,7.9868,117.0645,29.85,70,64,7.38,PH,1690428051
158,wainwright,52.839,-110.8572,12.37,91,100,5.79,CA,1690428052
159,qarqaraly,49.4058,75.4742,25.54,36,100,6.97,KZ,1690428052
160,vadso,70.0744,29.7487,10.09,93,100,2.57,NO,1690428052
161,hirara,24.8,125.2833,31.92,79,75,11.32,JP,1690428045
162,walvis bay,-22.9575,14.5053,11.72,82,0,0.55,NA,1690428049
163,daru,-9.0763,143.2092,26.04,81,57,8.26,PG,1690428053
164,lotoshino,56.2267,35.6414,14.59,93,90,1.75,RU,1690428053
165,stadtilm,50.7667,11.0833,13.09,85,94,3.55,DE,1690428054
166,college,64.8569,-147.8028,29.77,50,75,0.0,US,1690428055
167,holualoa,19.6228,-155.9522,26.97,83,75,5.14,US,1690428055
168,baiti,13.745,-14.7482,26.55,84,44,3.32,SN,1690428055
169,weno,7.4515,151.8468,28.44,74,24,3.3,FM,1690428055
170,nabire,-3.3667,135.4833,30.94,61,78,1.59,ID,1690428056
171,san patricio,28.017,-97.5169,29.36,74,69,5.06,US,1690428056
172,isola di capo rizzuto,38.96,17.0933,21.77,48,0,2.92,IT,1690428056
173,fort st. john,56.2499,-120.8529,14.94,94,100,4.12,CA,1690427840
174,akureyri,65.6835,-18.0878,8.96,71,100,1.54,IS,1690427890
175,udachny,66.4167,112.4,21.92,40,100,4.14,RU,1690428057
176,jayapura,-2.5333,140.7,26.66,95,100,2.35,ID,1690427972
